question_id,question_text,min_year,max_year,n_rows,question_text_corrected
QUO38,During any of your prenatal care visits  did a doctor  nurse  or other health care worker talk with you about how drinking alcohol during pregnancy could affect your baby?,2000,2011,327,During any of your prenatal care visits  did a doctor  nurse  or other health care worker talk with you about how drinking alcohol during pregnancy could affect your baby?
QUO39,During any of your prenatal care visits  did a doctor  nurse  or other health care worker talk with you about getting your blood tested for HIV?,2000,2011,327,During any of your prenatal care visits  did a doctor  nurse  or other health care worker talk with you about getting your blood tested for HIV?
QUO4,Indicator of whether mother was still breastfeeding 4 weeks after delivery.,2000,2011,327,Indicator of whether mother was still breastfeeding 4 weeks after delivery
QUO40,During any of your prenatal care visits  did a doctor  nurse  or other health care worker talk with you about how smoking during pregnancy could affect your baby?,2000,2011,327,During any of your prenatal care visits  did a doctor  nurse  or other health care worker talk with you about how smoking during pregnancy could affect your baby?
QUO41,Indicator of whether mother took vitamins more than 4 times a week during the month prior to pregnancy,2000,2011,327,Indicator of whether mother took vitamins more than 4 times a week during the month prior to pregnancy
QUO42,Indicator of sufficient well-baby care,2000,2008,126,Indicator of sufficient well-baby care
QUO44,Indicator of whether mother was still breastfeeding 8 weeks after delivery.,2000,2011,327,Indicator of whether mother was still breastfeeding 8 weeks after delivery
QUO5,Did you ever breastfeed or pump breast milk to feed your new baby after delivery?,2004,2011,228,Did you ever breastfeed or pump breast milk to feed your new baby after delivery?
QUO65,(*PCH) During the month before you got pregnant with your new baby  did you take a daily multivitamin?,2000,2011,327,"During the month before you got pregnant with your new baby, did you take a daily multivitamin?"
QUO66,During any of your prenatal care visits  did a doctor  nurse  or other health care worker talk with you about what to do if your labor starts early?,2000,2011,327,During any of your prenatal care visits  did a doctor  nurse  or other health care worker talk with you about what to do if your labor starts early?
QUO67,During any of your prenatal care visits  did a doctor  nurse  or other health care worker talk with you about doing tests to screen for birth defects or diseases that run in your family?,2000,2011,327,During any of your prenatal care visits  did a doctor  nurse  or other health care worker talk with you about doing tests to screen for birth defects or diseases that run in your family?
QUO69,Indicator for whether mother quit smoking during pregnancy (for smokers only),2000,2011,327,Indicator for whether mother quit smoking during pregnancy (for smokers only)
QUO73,Indicator of whether infant usually sleeps in a shared bed.,2000,2011,182,Indicator of whether infant usually sleeps in a shared bed.
QUO74,(*PCH) Indicator of whether mother reported frequent postpartum depressive symptoms(years 2004 - 2008).,2004,2008,102,Indicator of whether mother reported frequent postpartum depressive symptoms (years 2004-2008)
QUO75,During your most recent pregnancy  did you have your teeth cleaned?,2004,2011,118,"During your most recent pregnancy, did you have your teeth cleaned?"
QUO8,(*PCH) Indicator of drinking alcohol during the three months before pregnancy,2000,2011,327,(*PCH) Indicator of drinking alcohol during the three months before pregnancy
QUO80,Reason for not using postpartum contraception - husband or partner does not want to,2000,2011,327,Reason for not using postpartum contraception - husband or partner does not want to
QUO81,Reason for not using postpartum contraception - does not think she could become pregnant (sterile),2000,2011,327,Reason for not using postpartum contraception - does not think she could become pregnant (sterile)
QUO82,Reason for not using postpartum contraception - not having sex,2000,2011,327,Reason for not using postpartum contraception - not having sex
QUO83,Reason for not using postpartum contraception - some other reason,2000,2011,327,Reason for not using postpartum contraception - some other reason
QUO84,Reason for not using postpartum contraception - cannot pay for birth control,2000,2011,325,Reason for not using postpartum contraception - cannot pay for birth control
QUO85,Reason for not using postpartum contraception - currently pregnant,2000,2011,325,Reason for not using postpartum contraception - currently pregnant
QUO86,Reason for not using postpartum contraception - wants to get pregnant,2000,2011,327,Reason for not using postpartum contraception - wants to get pregnant
QUO87,Reason for not using postpartum contraception - does not want to use birth control,2000,2011,327,Reason for not using postpartum contraception - does not want to use birth control
QUO89,Indicator of contraception use at the time of pregnancy (for those not trying to get pregnant),2000,2011,327,Indicator of contraception use at the time of pregnancy (for those not trying to get pregnant)
QUO9,Indicator of whether mother reported having any alcoholic drinks during the last 3 months of pregnancy,2000,2011,327,Indicator of whether mother reported having any alcoholic drinks during the last 3 months of pregnancy
QUO91,Before you got pregnant  did a doctor  nurse  or other health care worker talk to you about how to prepare for a healthy pregnancy and baby?,2004,2011,61,Before you got pregnant  did a doctor  nurse  or other health care worker talk to you about how to prepare for a healthy pregnancy and baby?
QUO92,Indicator of ever having teeth cleaned,2004,2011,96,Indicator of ever having teeth cleaned
QUO93,During your most recent pregnancy  did you need to see a dentist for a problem?,2000,2011,191,During your most recent pregnancy  did you need to see a dentist for a problem?
QUO94,During your most recent pregnancy  did a dentist or dental worker talk to you about how to care for your teeth and gums?,2000,2011,193,During your most recent pregnancy  did a dentist or dental worker talk to you about how to care for your teeth and gums?
QUO95,During your most recent pregnancy  did you go to a dentist or dental clinic?,2000,2011,192,During your most recent pregnancy  did you go to a dentist or dental clinic?
QUO97,Did a doctor  nurse  or other health care worker talk with you about baby blues or postpartum depression during pregnancy or after your delivery?,2004,2011,67,"Did a doctor, nurse, or other health care worker talk with you about baby blues or postpartum depression during pregnancy or after your delivery?"
